Assay,Infiltrate,Treatment,Group,Slice,Count,KS_Neutrophil.Score,SL_Neutrophil.Score,Avg_Neutrophil.Score
P1A4,Neutrophil,DiHOME,3-3L,3L3 V1,331,4,4,4
P1A4,Neutrophil,DiHOME,3-3L,3L3 V2,291,4,4,4
P1A4,Neutrophil,DiHOME,3-4L,3L4 V1,99,3,4,3.5
P1A4,Neutrophil,DiHOME,3-4L,3L4 V2,57,1,3,2
P1A4,Neutrophil,DiHOME,3-5L,3L5 V1,108,3,4,3.5
P1A4,Neutrophil,DiHOME,3-5L,3L5 V2,388,4,4,4
P1A6,Neutrophil,PBS,P1A6_01,V1,30,0,2,1
P1A6,Neutrophil,PBS,P1A6_01,V2,62,1,2,1.5
P1A6,Neutrophil,PBS,P1A6_02,V1,59,1,1,1
P1A6,Neutrophil,PBS,P1A6_02,V2,117,2,2,2
P1A6,Neutrophil,PBS,P1A6_03,V1,183,2,3,2.5
P1A6,Neutrophil,PBS,P1A6_03,V2,91,2,3,2.5
P1A6,Neutrophil,PBS,P1A6_04,V1,89,1,2,1.5
P1A6,Neutrophil,PBS,P1A6_04,V2,34,0,1,0.5
P1A6,Neutrophil,PBS,P1A6_05,V1,147,2,3,2.5
P1A6,Neutrophil,PBS,P1A6_05,V2,98,3,3,3
P1A6,Neutrophil,CRA,P1A6_06,V1,54,1,2,1.5
P1A6,Neutrophil,CRA,P1A6_06,V2,94,3,3,3
P1A6,Neutrophil,CRA,P1A6_07,V1,186,3,3,3
P1A6,Neutrophil,CRA,P1A6_07,V2,215,3,3,3
P1A6,Neutrophil,CRA,P1A6_08,V1,145,3,4,3.5
P1A6,Neutrophil,CRA,P1A6_08,V2,519,4,4,4
P1A6,Neutrophil,CRA,P1A6_09,V1,170,2,3,2.5
P1A6,Neutrophil,CRA,P1A6_09,V2,141,2,3,2.5
P1A6,Neutrophil,CRA,P1A6_10,V1,162,2,3,2.5
P1A6,Neutrophil,CRA,P1A6_10,V2,71,1,3,2
P1A6,Neutrophil,DiHOME,P1A6_11,V1,129,2,4,3
P1A6,Neutrophil,DiHOME,P1A6_11,V2,96,2,3,2.5
P1A6,Neutrophil,DiHOME,P1A6_12,V1,336,3,4,3.5
P1A6,Neutrophil,DiHOME,P1A6_12,V2,112,2,3,2.5
P1A6,Neutrophil,DiHOME,P1A6_13,V1,295,4,4,4
P1A6,Neutrophil,DiHOME,P1A6_13,V2,293,3,4,3.5
P1A6,Neutrophil,DiHOME,P1A6_14,V1,450,3,4,3.5
P1A6,Neutrophil,DiHOME,P1A6_14,V2,568,4,4,4
P1A6,Neutrophil,DiHOME,P1A6_15,V1,261,3,3,3
P1A6,Neutrophil,DiHOME,P1A6_15,V2,189,1,3,2
